Book,,Author,Time,Date Started,Date Ended,Days Taken,Min Per Day,Year,Pages,Speed,Year,Minutes,Google Book ID,Series,Speed Graph,URL,Ratings,Image Last Update
American Assassin,,Vince Flynn,11:36:00,28-Feb-2015,5-Mar-2015,6,116,12-Oct-2010,448,75,2015,696,,Mitch Rapp-11,[][][][][][],http://ecx.images-amazon.com/images/I/51QGWsWIocL._SL234.jpg,5,9-Feb-2016
Kill Shot,,Vince Flynn,10:50:05,6-Mar-2015,14-Mar-2015,9,72,1-Jan-2012,400,44,2015,650,,Mitch Rapp-12,[][][][],http://ecx.images-amazon.com/images/I/51dTK9iMQUL._SL236.jpg,4,9-Feb-2016
The Last Man,,Vince Flynn,11:54:00,15-Mar-2015,20-Mar-2015,6,119,13-Nov-2012,448,75,2015,714,,Mitch Rapp-13,[][][][][][],http://ecx.images-amazon.com/images/I/51d6BX%2B1-LL._SL233.jpg,4,9-Feb-2016
The Bourne Ultimatum,,Robert Ludlum,29:23:11,21-Mar-2015,16-Apr-2015,27,65,25-Feb-1990,672,25,2015,"1,763",,Bourne-3,[][][],http://ecx.images-amazon.com/images/I/41t0ksQDfNL._SL260.jpg,1,9-Feb-2016
The Book of the Dead,,"Douglas Preston, Lincoln Child",15:10:49,17-Apr-2015,24-Apr-2015,8,114,1-May-2006,597,75,2015,911,,Pendergast-7,[][][][][][],http://ecx.images-amazon.com/images/I/51qT06t9boL._SL231.jpg,3,9-Feb-2016
Alibi in High Heels,,Gemma Halliday,08:25:14,25-Apr-2015,2-May-2015,8,63,1-Mar-2008,294,37,2015,505,,High Heels-4,[][][],http://ecx.images-amazon.com/images/I/41Zr8SlJTuL._SL248.jpg,4,9-Feb-2016
Zombie Fallout 4: The End Has Come and Gone,,Mark Tufo,11:11:48,3-May-2015,8-May-2015,6,112,29-Sep-2011,356,59,2015,672,,Zombie Fallout-4,[][][][][][],http://ecx.images-amazon.com/images/I/51sY6WGTpCL._SL246.jpg,4,9-Feb-2016
The Witches,,Roald Dahl,04:29:03,9-May-2015,12-May-2015,4,67,1-Jan-1983,208,52,2015,269,,,[][][],http://ecx.images-amazon.com/images/I/51vWUKZFkjL._SL249.jpg,4,9-Feb-2016
It,,Stephen King,44:57:00,13-May-2015,10-Jun-2015,29,93,1-Jan-1986,1138,39,2015,"2,697",,,[][][][][],http://ecx.images-amazon.com/images/I/41BXYBM-7kL._SL262.jpg,3,9-Feb-2016
Total Recall: My Truly Unbelievably Life Story,,Arnold Schwarzenegger,23:24:00,11-Jun-2015,20-Jun-2015,10,140,5-Nov-2013,656,66,2015,"1,404",,,[][][][][][][],http://ecx.images-amazon.com/images/I/51YVmKZ4DKL._SL235.jpg,4,9-Feb-2016
To Kill a Mockingbird,,Harper Lee,10:59:35,21-Jun-2015,26-Jun-2015,6,110,11-Jul-1960,296,49,2015,660,,To Kill a Mockingbird-1,[][][][][][],http://ecx.images-amazon.com/images/I/51grMGCKivL._SL249.jpg,4,9-Feb-2016
Trace,,Patricia Cornwell,12:21:20,27-Jun-2015,3-Jul-2015,7,106,1-Jan-2004,448,64,2015,741,,Scarpetta-13,[][][][][],http://ecx.images-amazon.com/images/I/21RJT2M2NBL._SL259.jpg,3,9-Feb-2016
Along Came a Spider,,James Patterson,12:14:00,4-Jul-2015,13-Jul-2015,10,73,1-Feb-1993,448,45,2015,734,9HIC6vE0uHcC,Alex Cross-1,[][][][],http://d.gr-assets.com/books/1388272560l/13145.jpg,4,9-Feb-2016
Wheels of Darkness,,"Douglas Preston, Lincoln Child",12:57:00,14-Jul-2015,21-Jul-2015,8,97,28-Aug-2007,388,49,2015,777,,Pendergast-8,[][][][][],http://d.gr-assets.com/books/1435789631l/39028.jpg,4,9-Feb-2016
Mayhem in High Heels,,Gemma Halliday,08:26:16,22-Jul-2015,24-Jul-2015,3,169,1-Jan-2009,303,101,2015,506,,High Heels-5,[][][][][][][][],"http://ecx.images-amazon.com/images/I/51oh3%2BEVwmL._SX321_BO1,204,203,200_.jpg",3,9-Feb-2016
Zombie Fallout 5: Alive in a Dead World,,Mark Tufo,11:08:00,25-Jul-2015,1-Aug-2015,8,84,29-Feb-2012,354,44,2015,668,,Zombie Fallout-5,[][][][],http://d.gr-assets.com/books/1351372159l/15884474.jpg,4,9-Feb-2016
Charlie and the Great Class Elevator,,Roald Dahl,03:15:54,2-Aug-2015,3-Aug-2015,2,98,1-Jan-1972,163,82,2015,196,,Charlie and the Chocolate Factory-2,[][][][][],https://blogofgreengables.files.wordpress.com/2012/02/charlie-and-the-gge-puffin.jpg,4,9-Feb-2016
The Bone Collector,,Jeffery Deaver,11:24:00,4-Aug-2015,10-Aug-2015,7,98,1-Jan-1997,404,58,2015,684,,Lincoln Rhyme-1,[][][][][],https://yellowedandcreased.files.wordpress.com/2014/09/bone-collector.jpg,4,9-Feb-2016
The Valley of Fear,,Arthur Conan Doyle,06:07:00,11-Aug-2015,12-Aug-2015,2,184,1-Jan-1914,320,160,2015,367,,,[][][][][][][][][],http://covers.booktopia.com.au/big/9781909175693/the-valley-of-fear.jpg,3,9-Feb-2016
His Last Bow,,Arthur Conan Doyle,07:31:00,13-Aug-2015,14-Aug-2015,2,226,1-Jan-1917,242,121,2015,451,,,[][][][][][][][][][][],http://d.gr-assets.com/books/1368588782l/754713.jpg,3,9-Feb-2016
The Case-Book of Sherlock Holmes,,Arthur Conan Doyle,08:53:00,15-Aug-2015,18-Aug-2015,4,133,1-Jan-1927,320,80,2015,533,,,[][][][][][][],https://images.bookstore.ipgbook.com/images/book_image/large/9780755334377.jpg,3,9-Feb-2016
Predator,,Patricia Cornwell,10:48:33,19-Aug-2015,21-Aug-2015,3,216,25-Oct-2005,466,155,2015,649,,Scarpetta-14,[][][][][][][][][][][],http://simania.co.il/bookimages/covers61/610917.jpg,2,9-Feb-2016
Kiss the Girls,,James Patterson,11:25:00,22-Aug-2015,28-Aug-2015,7,98,11-Jan-1995,458,65,2015,685,,Alex Cross-2,[][][][][],http://ecx.images-amazon.com/images/I/81A8ZB6jbOL.jpg,5,9-Feb-2016
Cemetery Dance,,"Douglas Preston, Lincoln Child",13:26:00,29-Aug-2015,3-Sep-2015,6,134,12-May-2009,435,73,2015,806,,Pendergast-9,[][][][][][][],https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Cemetery_dance_bookcover.JPG/220px-Cemetery_dance_bookcover.JPG,4,9-Feb-2016
Fearless in High Heels,,Gemma Halliday,05:20:28,3-Sep-2015,4-Sep-2015,2,160,26-Dec-2011,186,93,2015,320,,High Heels-6,[][][][][][][][],"http://ecx.images-amazon.com/images/I/51NDC8wtcyL._SX321_BO1,204,203,200_.jpg",3,9-Feb-2016
Zombie Fallout 6: 'Til Death Do Us Apart,,Mark Tufo,14:56:00,5-Sep-2015,10-Sep-2015,6,149,30-Sep-2012,462,77,2015,896,,Zombie Fallout-6,[][][][][][][],http://d.gr-assets.com/books/1349027675l/15742853.jpg,4,9-Feb-2016
The Girl in the Spider's Web,,David Lagercrantz,16:46:00,11-Sep-2015,16-Sep-2015,6,168,1-Sep-2015,416,69,2015,"1,006",,Millennium-4,[][][][][][][][],http://www.ew.com/sites/default/files/1430339558/DL%20flat_0.jpg,4,9-Feb-2016
James and the Giant Peach,,Roald Dahl,03:18:32,16-Sep-2015,16-Sep-2015,1,199,1-Jan-1961,119,119,2015,199,,,[][][][][][][][][][],http://babyccinokids.com/wp-content/uploads/2011/08/james-and-the-giant-peach.jpeg,4,9-Feb-2016
Rebecca,,Daphne du Maurier,14:49:00,17-Sep-2015,21-Sep-2015,5,178,1-Jan-1938,357,71,2015,889,,,[][][][][][][][][],http://rebeccahowden.com.au/wp-content/uploads/2011/12/rebecca-by-daphne-du-maurier.jpg,3,9-Feb-2016
The Dead Zone,,Stephen King,16:01:00,22-Sep-2015,25-Sep-2015,4,240,1-Aug-1979,428,107,2015,961,,,[][][][][][][][][][][][],http://hexdimension.com/wp-content/uploads/2014/03/The-Dead-Zone-cover-img-2.jpg,2,9-Feb-2016
The Black Echo,,Michael Connelly,13:49:00,26-Sep-2015,30-Sep-2015,5,166,1-Jan-1992,384,77,2015,829,,Harry Bosch-1,[][][][][][][][],https://40.media.tumblr.com/79a436886c94d199e63f64bf5ce1e2ac/tumblr_myzyscu0OX1qaouh8o1_500.jpg,4,9-Feb-2016
Jack & Jill,,James Patterson,13:26:42,1-Oct-2015,6-Oct-2015,6,134,1-Sep-1996,466,78,2015,807,,Alex Cross-3,[][][][][][][],http://bookverdict.com/images/covers/9780316693714.jpg,4,9-Feb-2016
The Survivor,,"Vince Flynn,Kyle Mills",10:40:02,7-Oct-2015,9-Oct-2015,3,213,6-Oct-2015,400,133,2015,640,9Yk1BgAAQBAJ,Mitch Rapp-14,[][][][][][][][][][][],"http://ecx.images-amazon.com/images/I/514Uk3NRzVL._SY344_BO1,204,203,200_.jpg",4,9-Feb-2016
The Martian,,Andy Weir,10:53:34,10-Oct-2015,12-Oct-2015,3,218,11-Feb-2014,385,128,2015,654,,,[][][][][][][][][][][],http://weekend.sunstar.com.ph/wp-content/uploads/2014/06/Book-Review-The-Martian.jpg,5,9-Feb-2016
Fever Dream,,"Douglas Preston, Lincoln Child",14:11:00,13-Oct-2015,17-Oct-2015,5,170,11-May-2010,405,81,2015,851,,Pendergast-10,[][][][][][][][][],http://www.xray867.server4you.net/system/hd_covers/000/175/007/original/fever_dream.jpg?1420137591,3,9-Feb-2016
Danger in High Heels,,Gemma Halliday,07:01:00,18-Oct-2015,19-Oct-2015,2,211,22-Dec-2012,192,96,2015,421,,High Heels-7,[][][][][][][][][][][],http://d.gr-assets.com/books/1355163579l/16128056.jpg,3,9-Feb-2016
Zombie Fallout 7: For the Fallen,,Mark Tufo,10:57:20,20-Oct-2015,22-Oct-2015,3,219,3-Dec-2013,370,123,2015,657,,Zombie Fallout-7,[][][][][][][][][][][],http://4.bp.blogspot.com/-PLP0UYe8I9E/Um7-PS6zYSI/AAAAAAAAEaQ/zAGeu-iTFNU/s1600/ZF7+print.jpg,3,9-Feb-2016
Boy,,Roald Dahl,03:11:00,23-Oct-2015,23-Oct-2015,1,191,1-Jan-1984,160,160,2015,191,,,[][][][][][][][][][],http://images.scholastic.co.uk/assets/a/bf/92/127976-ml-259162.jpg,4,9-Feb-2016
Eye of the Needle,,Ken Follett,09:16:00,24-Oct-2015,26-Oct-2015,3,185,1-Jan-1978,313,104,2015,556,,,[][][][][][][][][],http://d.gr-assets.com/books/1327939511l/92364.jpg,4,9-Feb-2016
The Rise and Fall of the Third Reich,,William L. Shirer,57:13:17,27-Oct-2015,15-Nov-2015,20,172,17-Oct-1960,1245,62,2015,"3,433",,,[][][][][][][][][],http://ecx.images-amazon.com/images/I/81J42OSRC7L.jpg,4,9-Feb-2016
Doctor Sleep,,Stephen King,18:35:58,16-Nov-2015,21-Nov-2015,6,186,24-Sep-2013,528,88,2015,"1,116",,The Shining-2,[][][][][][][][][],http://dvthundermedia.com/wp-content/uploads/2015/02/Dr-sleep1.jpg,4,9-Feb-2016
The Black Ice,,Michael Connelly,11:11:24,22-Nov-2015,25-Nov-2015,4,168,1-Jan-1993,322,81,2015,671,,Harry Bosch-2,[][][][][][][][],http://d.gr-assets.com/books/1372241876l/24244.jpg,4,9-Feb-2016
Cat & Mouse,,James Patterson,10:32:30,26-Nov-2015,28-Nov-2015,3,211,1-Jan-1997,451,150,2015,633,,Alex Cross-4,[][][][][][][][][][][],http://g-ecx.images-amazon.com/images/G/01/ciu/f3/8c/a96181b0c8a0bb76c9b2d110.L.jpg,4,9-Feb-2016
Cold Vengeance,,"Douglas Preston, Lincoln Child",11:58:00,29-Nov-2015,3-Dec-2015,5,144,2-Aug-2011,368,74,2015,718,,Pendergast-11,[][][][][][][],https://ragingbiblioholism.files.wordpress.com/2015/06/pendergast11.jpg,3,9-Feb-2016
How Star Wars Conquered the Universe,,Chris Taylor,20:42:05,4-Dec-2015,8-Dec-2015,5,248,30-Sep-2014,488,98,2015,"1,242",,,[][][][][][][][][][][][],https://img.washingtonpost.com/rw/2010-2019/WashingtonPost/2014/10/03/BookWorld/Images/Taylor-How%20Star.jpg?uuid=NsoB2ksVEeS3LtYKkinMEA,3,9-Feb-2016
The Hunger Games,,Suzanne Collins,11:11:38,9-Dec-2015,11-Dec-2015,2,336,14-Sep-2008,384,192,2015,672,h62hbrZbaXAC,Hunger Games-1,[][][][][][][][][][][][][][][][][],https://upload.wikimedia.org/wikipedia/en/a/ab/Hunger_games.jpg,5,9-Feb-2016
Catching Fire,,Suzanne Collins,11:41:00,12-Dec-2015,15-Dec-2015,3,234,1-Jan-2009,391,130,2015,701,G8kdAgAAQBAJ,Hunger Games-2,[][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51nTMA60fiL._SL160.jpg,5,9-Feb-2016
Mockingjay,,Suzanne Collins,11:43:00,16-Dec-2015,21-Dec-2015,6,117,24-Aug-2010,400,67,2015,703,FNB1BwAAQBAJ,Hunger Games-3,[][][][][][],http://ecx.images-amazon.com/images/I/41k66TFC43L._SL160.jpg,3,9-Feb-2016
Homicide in High Heels,,Gemma Halliday,07:38:00,22-Dec-2015,22-Dec-2015,1,458,3-May-2014,213,213,2015,458,,High Heels-8,[][][][][][][][][][][][][][][][][][][][][][][],http://d.gr-assets.com/books/1399327941l/22042813.jpg,3,9-Feb-2016
Zombie Fallout 8: An Old Beginning,,Mark Tufo,10:35:45,23-Dec-2015,24-Dec-2015,1,636,16-Sep-2014,342,342,2015,636,,Zombie Fallout-8,[][][][][][][][][][][][][][][][][][][][][][][][][][][][][][][][],http://www.designbookcover.pt/uploads/media/photos/cache/zomvie_fallout8_960x640_72_media_huge_thumbnail.jpg,3,9-Feb-2016
Going Solo,,Roald Dahl,04:38:23,25/12/2015,28-Dec-2015,3,93,1-Jan-1986,224,75,2015,278,,,[][][][][],http://ecx.images-amazon.com/images/I/710XJ1jirjL.jpg,3,9-Feb-2016
The Count of Monte Cristo,,Alexandar Dumas,43:16:52,29-Dec-2015,19-Jan-2016,21,124,1-Jan-1844,1276,61,2016,"2,597",,,[][][][][][],"http://ecx.images-amazon.com/images/I/51W5xvphHlL._SX310_BO1,204,203,200_.jpg",1,9-Feb-2016
Star Wars: The Force Awakens,,Alan Dean Foster,10:19:11,20-Jan-2016,25-Jan-2016,5,124,18-Dec-2015,272,54,2016,619,,,[][][][][][],http://vignette3.wikia.nocookie.net/starwars/images/b/b9/The_Force_Awakens_novelization_final_cover.jpg/revision/latest?cb=20151113220012,4,9-Feb-2016
The Concrete Blonde,,Michael Connelly,09:23:51,26-Jan-2016,3-Feb-2016,8,70,1-Jun-1994,484,61,2016,564,,Harry Bosch-3,[][][][],http://d.gr-assets.com/books/1388241215l/49350.jpg,4,9-Feb-2016
Pop Goes the Weasel,,James Patterson,10:05:20,4-Feb-2016,10-Feb-2016,6,101,1-Jan-1999,461,77,2016,605,BFH1qvbEi40C,Alex Cross-5,[][][][][],http://www.zoobashop.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/22__26306.jpg,4,
Two Graves,,"Douglas Preston, Lincoln Child",16:24:47,11-Feb-2016,18-Feb-2016,7,141,11-Dec-2012,484,69,2016,985,MqCh8fLRUcQC,Pendergast-12,[][][][][][][],http://d.gr-assets.com/books/1346937130l/14889780.jpg,3,
Deadly in High Heels,,Gemma Halliday,07:33:24,19-Feb-2016,21-Feb-2016,2,227,2-Feb-2015,215,108,2016,453,8XGxBgAAQBAJ,High Heels-9,[][][][][][][][][][][],"http://ecx.images-amazon.com/images/I/51JKsqJCUWL._SX327_BO1,204,203,200_.jpg",3,
Chase,,Dean Koontz,04:17:00,22-Feb-2016,23-Feb-2016,1,257,1-Jan-1972,214,214,2016,257,I5lf2DeYMH8C,,[][][][][][][][][][][][][],http://d.gr-assets.com/books/1390001952l/369594.jpg,3,
Unbelievable,,Paul Jennings,02:49:30,24-Feb-2016,24-Feb-2016,1,170,1-Jan-1987,120,120,2016,170,yDfThYbJGrYC,,[][][][][][][][][],https://d.gr-assets.com/books/1322834219l/1553894.jpg,4,
A Time to Kill,,John Grisham,15:58:29,25-Feb-2016,2-Mar-2016,6,160,1-Jan-1989,515,86,2016,958,Xp39K0c0IaEC,Jake Brigance-1,[][][][][][][][],http://covers.booktopia.com.au/big/9780099134015/a-time-to-kill.jpg,4,
Black Sunday,,Thomas Harris,09:53:50,3-Mar-2016,9-Mar-2016,6,99,1-Jan-1975,320,53,2016,594,AuqPW_YOkO0C,,[][][][][],http://d.gr-assets.com/books/1388540135l/1589614.jpg,2,
Ready Player One,,Ernest Cline,15:41:15,10-Mar-2016,15-Mar-2016,5,188,16-Aug-2011,374,75,2016,941,4zugGMReN3cC,,[][][][][][][][][],https://upload.wikimedia.org/wikipedia/en/a/a4/Ready_Player_One_cover.jpg,5,
The Last Coyote,,Michael Connelly,12:52:51,16-Mar-2016,21-Mar-2016,5,155,1-Jun-1995,400,80,2016,773,DDQdswEACAAJ,Harry Bosch-4,[][][][][][][][],https://avidmysteryreader.files.wordpress.com/2010/07/the-last-coyote.jpg,4,
Roses Are Red,,James Patterson,07:31:02,22-Mar-2016,7-Apr-2016,16,28,1-Jan-2000,416,26,2016,451,DLtOEUTcPtgC,Alex Cross-6,[],http://www.simplicitybookstore.com/images/book-covers/roses-are-red.jpg,4,
White Fire,,"Douglas Preston, Lincoln Child",12:54:12,8-Apr-2016,21-Apr-2016,13,60,12-Nov-2013,368,28,2016,774,XxiDAgAAQBAJ,Pendergast-13,[][][],https://www.hachettebookgroup.com/_b2c/media/cache/c5/5c/c55ccd11e728bc017ce156fb5607ccdd.jpg,3,
Unbreakable Bond,,"Gemma Halliday, Jennifer Fischetto",06:25:42,22-Apr-2016,2-May-2016,10,39,1-Jun-2012,184,18,2016,386,yuu5BgAAQBAJ,Jamie Bond-1,[][],http://d.gr-assets.com/books/1340512710l/15701408.jpg,4,
Demon Seed,,Dean Koontz,05:57:17,3-May-2016,17-May-2016,14,26,1-Jan-1973,301,22,2016,357,iXU3IMWNDCkC,,[],http://d.gr-assets.com/books/1348263544l/378221.jpg,4,
Eragon,,Christopher Paolini,16:34:52,18-May-2016,26-May-2016,8,124,1-Jun-2002,503,63,2016,995,Hb-yqZYzsiIC,Eragon,[][][][][][],https://upload.wikimedia.org/wikipedia/en/c/ce/Eragon_book_cover.png,4,
The Alienist,,Caleb Carr,20:02:01,27-May-2016,7-Jun-2016,11,109,1-Jan-1994,498,45,2016,"1,202",clOrZLvg56kC,,[][][][][],https://images-na.ssl-images-amazon.com/images/I/71CK5IDXUHL.jpg,2,
The Book Thief,,Markus Zusak,13:56:47,8-Jun-2016,16-Jun-2016,8,105,1-Jan-2005,352,44,2016,837,EvfvBdFrcr8C,,[][][][][],http://www.readbreatherelax.com/wp-content/uploads/2013/12/the-book-thief-markus-zusak.jpg,4,
Trunk Music,,Michael Connelly,12:41:17,17-Jun-2016,22-Jun-2016,5,152,28-Jan-1997,448,90,2016,761,pInEReHMjZIC,Harry Bosch-5,[][][][][][][][],https://knitewrites.files.wordpress.com/2015/01/trunkmusic.jpg?w=351&h=630,4,
Violets are Blue,,James Patterson,08:06:02,23-Jun-2016,25-Jun-2016,2,243,1-Jan-2002,391,196,2016,486,4fErHUhtVmkC,Alex Cross-7,[][][][][][][][][][][][],http://d.gr-assets.com/books/1328304719l/5436970.jpg,4,
Blue Labyrinth,,"Douglas Preston, Lincoln Child",14:12:10,26-Jun-2016,4-Jul-2016,8,107,11-Nov-2014,416,52,2016,852,7tdVBQAAQBAJ,Pendergast-14,[][][][][],http://i.imgur.com/hPtQqJ3.jpg,3,
Walt Disney: The Triumph of the American Imagination,,Neal Gabler,32:10:45,5-Jul-2016,18-Jul-2016,13,149,31-Oct-2006,880,68,2016,"1,931",41e-Ru0wRkEC,,[][][][][][][],https://images-na.ssl-images-amazon.com/images/I/71vThtjjvhL.jpg,3,
Encounters,,Mark Tufo,11:17:36,19-Jul-2016,25-Jul-2016,6,113,31-Oct-2011,362,60,2016,678,RanZBAAAQBAJ,Indian Hill-1,[][][][][][],http://www.marktufo.com/images/indianhill1.jpg,3,
100 People Who Are Screwing Up America,,Bernard Goldberg,06:15:18,26-Jul-2016,27-Jul-2016,1,375,5-Jul-2005,305,305,2016,375,YRXVrzKyfOAC,,[][][][][][][][][][][][][][][][][][][],https://upload.wikimedia.org/wikipedia/en/d/dc/100_People_Who_Are_Screwing_Up_America.jpg,2,
Eldest,,Christopher Paolini,23:34:23,28-Jul-2016,17-Aug-2016,20,71,23-Mar-2007,668,33,2016,"1,414",Vh278GE3R1IC,Eragon-2,[][][][],http://s4.thingpic.com/images/mk/f9yaSWJji1ad7n5avKnef4zr.png,3,
Blood Work,,Michael Connelly,12:41:16,18-Aug-2016,25-Aug-2016,7,109,1-Jul-2002,480,69,2016,761,cXMtBQAAQBAJ,Terrell McCaleb-1,[][][][][],"https://images-na.ssl-images-amazon.com/images/I/51p1WBVb4BL._SX308_BO1,204,203,200_.jpg",4,
Crimson Shore,,"Douglas Preston, Lincoln Child",10:46:44,26-Aug-2016,7-Sep-2016,12,54,11-Oct-2015,339,28,2016,647,3zg6CQAAQBAJ,Pendergast-15,[][][],http://2.bp.blogspot.com/-OK_ZDsD0aqQ/VjpHq69fi0I/AAAAAAAAcRs/TZeBv8f8MSA/s1600/CrimsonShore.JPG,3,
Four Blind Mice,,James Patterson,07:56:09,8-Sep-2016,13-Sep-2016,5,95,15-Sep-2003,416,83,2016,476,xmLtmpAgETkC,Alex Cross-8,[][][][][],https://images-na.ssl-images-amazon.com/images/I/51j6tb8m8PL.jpg,4,
The DIsneyland Story: The Unofficial Guide to the Evolution of Walt Disney's Dream,,Sam Gennawey,16:31:51,14-Sep-2016,27-Sep-2016,13,76,5-Nov-2013,411,32,2016,992,gG2oAgAAQBAJ,,[][][][],"https://images-na.ssl-images-amazon.com/images/I/51jfWzHe1NL._SY344_BO1,204,203,200_.jpg",3,
The 7 Habits of Highly Effective People,,Stephen R. Covey,12:58:00,28-Sep-2016,26-Oct-2016,29,27,1-Jan-1989,358,12,2016,778,upUxaNWSaRIC,,[],http://ecx.images-amazon.com/images/I/51Osk63EaBL._SL160.jpg,5,
Order to Kill,,"Vince Flynn,Kyle Mills",09:50:00,27-Oct-2016,1-Nov-2016,6,98,11-Oct-2016,384,64,2016,590,16MxDQAAQBAJ,Mitch Rapp-15,[][][][][],http://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781476783482/order-to-kill-9781476783482_hr.jpg,4,
