Book,,Author,Time,Date Started,Date Ended,Days Taken,Min Per Day,Year,Pages,Speed,Year,Minutes,Google Book ID,Series,Speed Graph,URL,Ratings,Image Last Update
Star Wars - Fate of the Jedi: Omen,,Christie Golden,08:25:00,13-Oct-2011,17-Oct-2011,5,101,23-Jun-2009,250,50,2011,505,hgnEk_vyvUEC,Star Wars: Fate of the Jedi-2,[][][][][],http://ecx.images-amazon.com/images/I/51B7AmmzCFL._SL160.jpg,4,9-Feb-2016
The Lion's Game,,Nelson DeMille,24:52:00,18-Oct-2011,25-Oct-2011,8,187,6-Jan-2000,688,86,2011,"1,492",YqWiofFa9u0C,John Corey-2,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51uds%2BrRzuL._SL160.jpg,2,9-Feb-2016
Steve Jobs,,Walter Isaacson,25:07:00,26-Oct-2011,31-Oct-2011,6,251,24-Oct-2011,656,109,2011,"1,507",26ev_abfrU8C,,[][][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/41TNSBq4F5L._SL160.jpg,4,9-Feb-2016
Reamde,,Neal Stephenson,38:34:00,1-Nov-2011,21-Dec-2011,51,45,20-Sep-2011,1056,21,2011,"2,314",iF83AwEACAAJ,,[][],http://d.gr-assets.com/books/1305993115l/10552338.jpg,3,9-Feb-2016
Memorial Day,,Vince Flynn,13:20:00,22-Dec-2011,28-Dec-2011,7,114,1-Jan-2004,407,58,2011,800,sy7yyjzeke4C,Mitch Rapp-5,[][][][][][],http://ecx.images-amazon.com/images/I/51lgCipe%2BKL._SL160.jpg,5,9-Feb-2016
Star Wars - Fate of the Jedi: Abyss,,Troy Denning,11:18:00,28-Dec-2011,7-Jan-2012,10,68,18-Aug-2009,332,33,2012,678,H6DPdKWoyEUC,Star Wars: Fate of the Jedi-3,[][][],http://ecx.images-amazon.com/images/I/51xoVeuTJ9L._SL160.jpg,4,9-Feb-2016
The Fifth Woman,,Henning Mankell,17:04:48,8-Jan-2012,18-Jan-2012,11,93,13-Apr-2004,448,41,2012,"1,025",gOaUyBGAI9AC,Kurt Wallander-6,[][][][][],http://ecx.images-amazon.com/images/I/51HFc8f7cLL._SL160.jpg,3,9-Feb-2016
Crazy Love,,Francis Chan,04:19:05,19-Jan-2012,21-Jan-2012,3,86,1-Jan-2008,186,62,2012,259,102lZa2nM1EC,,[][][][],http://ecx.images-amazon.com/images/I/31vNirDco6L._SL160.jpg,4,9-Feb-2016
The Girl Who Kicked the Hornet's Nest,,Stieg Larsson,25:09:39,22-Jan-2012,1-Feb-2012,11,137,1-Jan-2007,563,51,2012,"1,510",0F1hBQAAQBAJ,Millennium-3,[][][][][][][],http://audioliterate.com/wp-content/uploads/2012/02/The-Girl-Who-Kicked-the-Hornets-Nest-The-Millennium-Trilogy-Book-3.jpg,5,9-Feb-2016
Outlander,,Diana Gabaldon,32:42:00,2-Feb-2012,14-Feb-2012,13,151,1-Jan-1991,656,50,2012,"1,962",IM1nVGX7XU0C,Outlander-1,[][][][][][][][],http://ecx.images-amazon.com/images/I/416zKCkfHFL._SL253.jpg,3,9-Feb-2016
Act of Treason,,Vince Flynn,11:05:00,15-Feb-2012,16-Feb-2012,2,333,1-Jan-2006,415,208,2012,665,UzPUoSk3EHYC,Mitch Rapp-7,[][][][][][][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51Hk5-jSxLL._SL160.jpg,5,9-Feb-2016
Star Wars - Fate of the Jedi: Backlash,,Aaron Allston,11:10:15,17-Feb-2012,22-Feb-2012,6,112,9-Mar-2010,328,55,2012,670,,Star Wars: Fate of the Jedi-4,[][][][][][],http://ecx.images-amazon.com/images/I/512XFWguTVL._SL235.jpg,3,9-Feb-2016
The Shack,,William P. Young,08:32:21,23-Feb-2012,25-Feb-2012,3,171,1-Jan-2007,252,84,2012,512,,,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51f2oCVO%2B%2BL._SL253.jpg,5,9-Feb-2016
The Templar Legacy,,Steve Berry,15:44:00,26-Feb-2012,4-Mar-2012,8,118,1-Jan-2006,496,62,2012,944,,Cotton Malone-1,[][][][][][],http://ecx.images-amazon.com/images/I/51J1GG0G61L._SL254.jpg,4,9-Feb-2016
Protect and Defend,,Vince Flynn,10:16:00,11-Mar-2012,15-Mar-2012,5,123,1-Oct-2007,416,83,2012,616,,Mitch Rapp-8,[][][][][][],http://ecx.images-amazon.com/images/I/51xu7S-GjdL._SL228.jpg,4,9-Feb-2016
Star Wars - Fate of the Jedi: Allies,,Christie Golden,13:24:00,16-Mar-2012,21-Mar-2012,6,134,25-May-2010,359,60,2012,804,,Star Wars: Fate of the Jedi-5,[][][][][][][],http://ecx.images-amazon.com/images/I/51Kh1RDoxDL._SL235.jpg,4,9-Feb-2016
Great Lives: Joseph - A Man of Integrity and Forgiveness,,Charles R. Swindoll,08:04:00,22-Mar-2012,23-Mar-2012,2,242,1-Jan-1998,218,109,2012,484,,,[][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/41eOxrueW4L._SL235.jpg,3,9-Feb-2016
The Alexandria Link,,Steve Berry,17:20:40,24-Mar-2012,2-Apr-2012,10,104,1-Jan-2007,512,51,2012,"1,041",,Cotton Malone-2,[][][][][],http://ecx.images-amazon.com/images/I/51UjmjakgdL._SL235.jpg,3,9-Feb-2016
The Thirty Nine Steps,,John Buchan,04:39:12,3-Apr-2012,4-Apr-2012,2,140,1-Jan-1915,117,59,2012,279,,,[][][][][][][],http://ecx.images-amazon.com/images/I/51yznZYT1JL._SL160.jpg,3,9-Feb-2016
Extreme Measures,,Vince Flynn,12:09:48,5-Apr-2012,8-Apr-2012,4,182,1-Oct-2008,416,104,2012,730,,Mitch Rapp-9,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51EAvCZOGcL._SL234.jpg,4,9-Feb-2016
Star Wars - Fate of the Jedi: Vortex,,Troy Denning,14:35:00,9-Apr-2012,13-Apr-2012,5,175,30-Nov-2010,375,75,2012,875,,Star Wars: Fate of the Jedi-6,[][][][][][][][][],http://ecx.images-amazon.com/images/I/51OaY2ueMYL._SL234.jpg,4,9-Feb-2016
War of the Worlds,,H. G. Wells,06:13:00,14-Apr-2012,19-Apr-2012,6,62,1-Jan-1898,303,51,2012,373,,,[][][],http://ecx.images-amazon.com/images/I/51RbRQ-vgYL._SL160.jpg,3,9-Feb-2016
The Venetian Betrayal,,Steve Berry,15:20:20,20-Apr-2012,7-May-2012,18,51,1-Jan-2007,496,28,2012,920,,Cotton Malone-3,[][][],http://ecx.images-amazon.com/images/I/31IhS7efTvL._SL160.jpg,3,9-Feb-2016
Treasure Island,,Robert Louis Stevenson,06:43:00,8-May-2012,10-May-2012,3,134,1-Jan-1883,292,97,2012,403,,,[][][][][][][],http://ecx.images-amazon.com/images/I/51MKnKpVK6L._SL238.jpg,3,9-Feb-2016
Pursuit of Honor,,Vince Flynn,11:50:00,11-May-2012,16-May-2012,6,118,1-Oct-2009,431,72,2012,710,,Mitch Rapp-10,[][][][][][],http://ecx.images-amazon.com/images/I/51Irh6r-ntL._SL234.jpg,4,9-Feb-2016
Water for Elephants,,Sara Gruen,11:26:00,17-May-2012,29-May-2012,13,53,26-May-2006,331,25,2012,686,,,[][][],http://ecx.images-amazon.com/images/I/51ndVau1joL._SL231.jpg,3,9-Feb-2016
Star Wars - Fate of the Jedi: Conviction,,Aaron Allston,12:57:00,30-May-2012,12-Jun-2012,14,55,24-May-2011,380,27,2012,777,,Star Wars: Fate of the Jedi-7,[][][],http://ecx.images-amazon.com/images/I/51PsKh7O1yL._SL235.jpg,3,9-Feb-2016
Jurassic Park,,Michael Crichton,12:00:00,13-Jun-2012,14-Jun-2012,2,360,1-Nov-1990,400,200,2012,720,,Jurassic Park-1,[][][][][][][][][][][][][][][][][][],http://ecx.images-amazon.com/images/I/410E2D3HKKL._SL160.jpg,5,9-Feb-2016
The Charlemagne Pursuit,,Steve Berry,16:22:00,15-Jun-2012,26-Jun-2012,12,82,2-Dec-2008,528,44,2012,982,,Cotton Malone-4,[][][][],http://ecx.images-amazon.com/images/I/61WWbokK8LL._SL231.jpg,3,9-Feb-2016
The Lost World,,Michael Crichton,15:19:00,27-Jun-2012,3-Jul-2012,7,131,1-Jan-1995,429,61,2012,919,,Jurassic Park-2,[][][][][][][],http://ecx.images-amazon.com/images/I/71S019GP6ML._SL224.gif,4,9-Feb-2016
American Assassin,,Vince Flynn,11:36:00,4-Jul-2012,10-Jul-2012,7,99,12-Oct-2010,448,64,2012,696,,Mitch Rapp-11,[][][][][],http://ecx.images-amazon.com/images/I/51QGWsWIocL._SL234.jpg,5,9-Feb-2016
The Help,,Kathryn Stockett,18:06:00,11-Jul-2012,15-Jul-2012,5,217,1-Feb-2009,451,90,2012,"1,086",,,[][][][][][][][][][][],http://ecx.images-amazon.com/images/I/51-1PHC3W5L._SL232.jpg,4,9-Feb-2016
Divergent,,Veronica Roth,11:11:00,16-Jul-2012,19-Jul-2012,4,168,3-May-2011,487,122,2012,671,,Divergent-1,[][][][][][][][],http://ecx.images-amazon.com/images/I/51Mry4w810L._SL231.jpg,3,9-Feb-2016
Star Wars - Fate of the Jedi - Ascention,,Christie Golden,14:43:56,20-Jul-2012,25-Jul-2012,6,147,9-Aug-2011,410,68,2012,884,,Star Wars: Fate of the Jedi-8,[][][][][][][],http://ecx.images-amazon.com/images/I/519RnNkaTkL._SL235.jpg,3,9-Feb-2016
23 Things They Don't Tell you about Capitalism,,Ha-Joon Chang,08:58:28,26-Jul-2012,31-Jul-2012,6,90,4-Jan-2011,304,51,2012,538,,,[][][][][],http://ecx.images-amazon.com/images/I/418afLHvb5L._SL228.jpg,3,9-Feb-2016
The Paris Vendetta,,Steve Berry,13:33:21,1-Aug-2012,7-Aug-2012,7,116,1-Jan-2009,432,62,2012,813,,Cotton Malone-5,[][][][][][],http://ecx.images-amazon.com/images/I/51tAOPNeMRL._SL234.jpg,3,9-Feb-2016
The 8th Habit,,Stephen R. Covey,14:24:55,8-Aug-2012,18-Aug-2012,11,79,1-Jan-2004,432,39,2012,865,,,[][][][],http://ecx.images-amazon.com/images/I/516N1NrMPzL._SL254.jpg,3,9-Feb-2016
Kill Shot,,Vince Flynn,10:50:05,19-Aug-2012,22-Aug-2012,4,163,1-Jan-2012,400,100,2012,650,,Mitch Rapp-12,[][][][][][][][],http://ecx.images-amazon.com/images/I/51dTK9iMQUL._SL236.jpg,4,9-Feb-2016
Insurgent,,Veronica Roth,11:23:43,23-Aug-2012,30-Aug-2012,8,85,1-May-2012,496,62,2012,684,,Divergent-2,[][][][],http://cf-ui.shelfari.com/85fa19d3ecb7_154w.jpg,3,9-Feb-2016
Charlie and the Chocolate Factory,,Roald Dahl,03:18:47,31-Aug-2012,1-Sep-2012,2,99,1-Jan-1964,176,88,2012,199,,Charlie and the Chocolate Factory-1,[][][][][],http://ecx.images-amazon.com/images/I/516DGE57ENL._SL238.jpg,5,9-Feb-2016
Star Wars - Fate of the Jedi: Apocalpyse,,Troy Denning,16:29:48,2-Sep-2012,10-Sep-2012,9,110,13-Mar-2012,476,53,2012,990,,Star Wars: Fate of the Jedi-9,[][][][][][],http://ecx.images-amazon.com/images/I/51EQhaJk9cL._SL235.jpg,3,9-Feb-2016
